| end of split   9 / 80 | epoch   2 | time: 354.69s | valid loss  0.82 | valid ppl     2.27 | learning rate 20.0000
| end of split  10 / 80 | epoch   2 | time: 354.82s | valid loss  0.85 | valid ppl     2.34 | learning rate 20.0000
| end of split  11 / 80 | epoch   2 | time: 354.89s | valid loss  0.82 | valid ppl     2.27 | learning rate 20.0000
| end of split  12 / 80 | epoch   2 | time: 354.17s | valid loss  0.82 | valid ppl     2.27 | learning rate 20.0000
| end of split  13 / 80 | epoch   2 | time: 354.63s | valid loss  0.82 | valid ppl     2.27 | learning rate 20.0000
| end of split  14 / 80 | epoch   2 | time: 354.35s | valid loss  0.82 | valid ppl     2.27 | learning rate 20.0000
| end of split  15 / 80 | epoch   2 | time: 354.53s | valid loss  0.82 | valid ppl     2.27 | learning rate 20.0000
| end of split  16 / 80 | epoch   2 | time: 354.19s | valid loss  0.82 | valid ppl     2.27 | learning rate 20.0000
| end of split  17 / 80 | epoch   2 | time: 354.39s | valid loss  0.83 | valid ppl     2.28 | learning rate 20.0000
| end of split  18 / 80 | epoch   2 | time: 354.34s | valid loss  0.82 | valid ppl     2.26 | learning rate 20.0000
| end of split  19 / 80 | epoch   2 | time: 354.11s | valid loss  0.86 | valid ppl     2.36 | learning rate 20.0000
| end of split  20 / 80 | epoch   2 | time: 355.01s | valid loss  0.82 | valid ppl     2.27 | learning rate 20.0000
| end of split  21 / 80 | epoch   2 | time: 354.38s | valid loss  0.82 | valid ppl     2.27 | learning rate 20.0000
| end of split  22 / 80 | epoch   2 | time: 356.04s | valid loss  0.82 | valid ppl     2.26 | learning rate 20.0000
| end of split  23 / 80 | epoch   2 | time: 354.87s | valid loss  0.81 | valid ppl     2.25 | learning rate 20.0000
| end of split  24 / 80 | epoch   2 | time: 355.70s | valid loss  0.81 | valid ppl     2.26 | learning rate 20.0000
| end of split  25 / 80 | epoch   2 | time: 355.15s | valid loss  0.81 | valid ppl     2.25 | learning rate 20.0000
| end of split  26 / 80 | epoch   2 | time: 356.05s | valid loss  0.82 | valid ppl     2.26 | learning rate 20.0000
| end of split  27 / 80 | epoch   2 | time: 354.83s | valid loss  0.82 | valid ppl     2.27 | learning rate 20.0000
| end of split  28 / 80 | epoch   2 | time: 355.49s | valid loss  0.81 | valid ppl     2.25 | learning rate 20.0000
| end of split  29 / 80 | epoch   2 | time: 354.04s | valid loss  0.81 | valid ppl     2.26 | learning rate 20.0000
| end of split  30 / 80 | epoch   2 | time: 355.06s | valid loss  0.81 | valid ppl     2.25 | learning rate 20.0000
| end of split  31 / 80 | epoch   2 | time: 354.31s | valid loss  0.81 | valid ppl     2.25 | learning rate 20.0000
| end of split  32 / 80 | epoch   2 | time: 353.95s | valid loss  0.81 | valid ppl     2.24 | learning rate 20.0000
| end of split  33 / 80 | epoch   2 | time: 353.83s | valid loss  0.81 | valid ppl     2.24 | learning rate 20.0000
| end of split  34 / 80 | epoch   2 | time: 354.18s | valid loss  0.81 | valid ppl     2.24 | learning rate 20.0000
| end of split  35 / 80 | epoch   2 | time: 354.55s | valid loss  0.81 | valid ppl     2.24 | learning rate 20.0000
| end of split  36 / 80 | epoch   2 | time: 353.87s | valid loss  0.80 | valid ppl     2.24 | learning rate 20.0000
| end of split  37 / 80 | epoch   2 | time: 352.59s | valid loss  0.81 | valid ppl     2.24 | learning rate 20.0000
| end of split  38 / 80 | epoch   2 | time: 355.42s | valid loss  0.80 | valid ppl     2.23 | learning rate 20.0000
| end of split  39 / 80 | epoch   2 | time: 354.39s | valid loss  0.80 | valid ppl     2.23 | learning rate 20.0000
| end of split  40 / 80 | epoch   2 | time: 353.80s | valid loss  0.81 | valid ppl     2.24 | learning rate 20.0000
| end of split  41 / 80 | epoch   2 | time: 353.37s | valid loss  0.81 | valid ppl     2.26 | learning rate 20.0000
| end of split  42 / 80 | epoch   2 | time: 352.68s | valid loss  0.80 | valid ppl     2.23 | learning rate 20.0000
| end of split  43 / 80 | epoch   2 | time: 353.91s | valid loss  0.81 | valid ppl     2.25 | learning rate 20.0000
| end of split  44 / 80 | epoch   2 | time: 353.24s | valid loss  0.80 | valid ppl     2.23 | learning rate 20.0000
| end of split  45 / 80 | epoch   2 | time: 354.09s | valid loss  0.80 | valid ppl     2.23 | learning rate 20.0000
| end of split  46 / 80 | epoch   2 | time: 354.76s | valid loss  0.80 | valid ppl     2.22 | learning rate 20.0000
| end of split  47 / 80 | epoch   2 | time: 354.05s | valid loss  0.80 | valid ppl     2.22 | learning rate 20.0000
| end of split  48 / 80 | epoch   2 | time: 352.47s | valid loss  0.80 | valid ppl     2.23 | learning rate 20.0000
| end of split  49 / 80 | epoch   2 | time: 352.68s | valid loss  0.81 | valid ppl     2.24 | learning rate 20.0000
| end of split  50 / 80 | epoch   2 | time: 352.82s | valid loss  0.81 | valid ppl     2.24 | learning rate 20.0000
| end of split  51 / 80 | epoch   2 | time: 353.85s | valid loss  0.80 | valid ppl     2.24 | learning rate 20.0000
| end of split  52 / 80 | epoch   2 | time: 353.02s | valid loss  0.81 | valid ppl     2.24 | learning rate 20.0000
| end of split  53 / 80 | epoch   2 | time: 353.98s | valid loss  0.80 | valid ppl     2.22 | learning rate 20.0000
| end of split  54 / 80 | epoch   2 | time: 353.73s | valid loss  0.80 | valid ppl     2.22 | learning rate 20.0000
| end of split  55 / 80 | epoch   2 | time: 353.94s | valid loss  0.81 | valid ppl     2.25 | learning rate 20.0000
| end of split  56 / 80 | epoch   2 | time: 352.51s | valid loss  0.80 | valid ppl     2.22 | learning rate 20.0000
| end of split  57 / 80 | epoch   2 | time: 354.27s | valid loss  0.80 | valid ppl     2.22 | learning rate 20.0000
| end of split  58 / 80 | epoch   2 | time: 354.01s | valid loss  0.79 | valid ppl     2.21 | learning rate 20.0000
| end of split  59 / 80 | epoch   2 | time: 354.03s | valid loss  0.79 | valid ppl     2.21 | learning rate 20.0000
| end of split  60 / 80 | epoch   2 | time: 354.05s | valid loss  0.79 | valid ppl     2.21 | learning rate 20.0000
| end of split  61 / 80 | epoch   2 | time: 353.33s | valid loss  0.79 | valid ppl     2.21 | learning rate 20.0000
| end of split  62 / 80 | epoch   2 | time: 354.20s | valid loss  0.79 | valid ppl     2.21 | learning rate 20.0000
| end of split  63 / 80 | epoch   2 | time: 353.40s | valid loss  0.81 | valid ppl     2.24 | learning rate 20.0000
| end of split  64 / 80 | epoch   2 | time: 354.00s | valid loss  0.84 | valid ppl     2.31 | learning rate 20.0000
| end of split  65 / 80 | epoch   2 | time: 353.39s | valid loss  0.79 | valid ppl     2.21 | learning rate 20.0000
| end of split  66 / 80 | epoch   2 | time: 353.26s | valid loss  0.79 | valid ppl     2.21 | learning rate 20.0000
| end of split  67 / 80 | epoch   2 | time: 353.50s | valid loss  0.80 | valid ppl     2.23 | learning rate 20.0000
| end of split  68 / 80 | epoch   2 | time: 352.62s | valid loss  0.79 | valid ppl     2.21 | learning rate 20.0000
| end of split  69 / 80 | epoch   2 | time: 353.50s | valid loss  0.79 | valid ppl     2.21 | learning rate 20.0000
| end of split  70 / 80 | epoch   2 | time: 353.11s | valid loss  0.80 | valid ppl     2.23 | learning rate 20.0000
| end of split  71 / 80 | epoch   2 | time: 354.26s | valid loss  0.79 | valid ppl     2.20 | learning rate 20.0000
| end of split  72 / 80 | epoch   2 | time: 353.83s | valid loss  0.79 | valid ppl     2.20 | learning rate 20.0000
| end of split  73 / 80 | epoch   2 | time: 353.24s | valid loss  0.79 | valid ppl     2.21 | learning rate 20.0000
| end of split  74 / 80 | epoch   2 | time: 352.67s | valid loss  0.79 | valid ppl     2.21 | learning rate 20.0000
| end of split  75 / 80 | epoch   2 | time: 354.57s | valid loss  0.79 | valid ppl     2.20 | learning rate 20.0000
| end of split  76 / 80 | epoch   2 | time: 354.35s | valid loss  0.79 | valid ppl     2.20 | learning rate 20.0000
| end of split  77 / 80 | epoch   2 | time: 352.04s | valid loss  0.79 | valid ppl     2.21 | learning rate 20.0000
| end of split  78 / 80 | epoch   2 | time: 353.36s | valid loss  0.79 | valid ppl     2.20 | learning rate 20.0000
| end of split  79 / 80 | epoch   2 | time: 352.60s | valid loss  0.82 | valid ppl     2.28 | learning rate 20.0000
| end of split  80 / 80 | epoch   2 | time: 353.76s | valid loss  0.79 | valid ppl     2.20 | learning rate 20.0000
| end of split   1 / 80 | epoch   3 | time: 352.46s | valid loss  0.79 | valid ppl     2.20 | learning rate 20.0000
| end of split   2 / 80 | epoch   3 | time: 354.17s | valid loss  0.79 | valid ppl     2.20 | learning rate 20.0000
| end of split   3 / 80 | epoch   3 | time: 353.09s | valid loss  0.79 | valid ppl     2.20 | learning rate 20.0000
| end of split   4 / 80 | epoch   3 | time: 354.54s | valid loss  0.80 | valid ppl     2.23 | learning rate 20.0000
| end of split   5 / 80 | epoch   3 | time: 353.51s | valid loss  0.79 | valid ppl     2.20 | learning rate 20.0000
| end of split   6 / 80 | epoch   3 | time: 353.22s | valid loss  0.79 | valid ppl     2.20 | learning rate 20.0000
| end of split   7 / 80 | epoch   3 | time: 353.62s | valid loss  0.79 | valid ppl     2.20 | learning rate 20.0000
| end of split   8 / 80 | epoch   3 | time: 353.48s | valid loss  0.78 | valid ppl     2.19 | learning rate 20.0000
| end of split   9 / 80 | epoch   3 | time: 352.49s | valid loss  0.79 | valid ppl     2.20 | learning rate 20.0000
| end of split  10 / 80 | epoch   3 | time: 353.37s | valid loss  0.79 | valid ppl     2.20 | learning rate 20.0000
